Date,Alcohol1,Alcohol2,low_score,male,white,recidivism,acc,aged,year,bac1,bac2
30jul2007,0,0,0,1,1,1,0,48,2007,0,0
20feb2007,0,0,0,1,1,0,0,51,2007,0,0
18mar2003,0,0,0,1,0,0,0,68,2003,0,0
17dec2006,0,0,0,1,1,0,0,51,2006,0,0
07apr1999,0,0,0,1,1,0,0,22,1999,0,0
20mar2003,0,0,0,1,1,0,1,49,2003,0,0
10jun2004,0,0,0,1,0,1,0,63,2004,0,0
14jan2005,0,0,0,0,0,0,0,49,2005,0,0
05jun1999,0,0,0,0,1,0,0,21,1999,0,0
31may2007,0,0,0,1,0,0,1,39,2007,0,0
18feb2007,0,0,0,0,1,0,0,26,2007,0,0
01jun2006,0,0,0,1,1,0,1,33,2006,0,0
29aug2005,0,0,0,1,1,0,0,24,2005,0,0
18aug2006,0,0,0,1,1,0,0,50,2006,0,0
28may2006,0,0,0,1,1,0,0,43,2006,0,0
20may2006,0,0,0,1,1,0,0,39,2006,0,0
27dec2001,0,0,0,0,0,0,1,46,2001,0,0
03mar2007,0,0,0,1,1,0,0,31,2007,0,0
15nov2004,0,0,0,0,1,0,0,40,2004,0,0
05jun2000,0,0,0,1,1,0,1,51,2000,0,0
03nov2000,0,0,0,1,1,0,0,24,2000,0,0
30aug2005,0,0,0,1,0,0,0,64,2005,0,0
25sep2007,0,0,0,0,1,0,0,51,2007,0,0
12jul2003,0,0,0,1,1,0,0,31,2003,0,0
24jan2000,0,0,0,1,1,0,0,46,2000,0,0
27may2007,0,0,0,1,0,0,0,39,2007,0,0
20feb2004,0,0,0,0,1,0,0,45,2004,0,0
03nov2001,0,0,0,1,1,0,0,21,2001,0,0
03dec2006,0,0,0,1,0,0,0,39,2006,0,0
15sep2001,0,0,0,1,1,0,0,38,2001,0,0
02jul2004,0,0,0,0,1,0,0,34,2004,0,0
20sep2005,0,0,0,0,1,0,1,42,2005,0,0
26apr2004,0,0,0,1,1,0,1,53,2004,0,0
27dec1999,0,0,0,1,0,0,0,25,1999,0,0
25sep2005,0,0,0,0,1,0,0,32,2005,0,0
28may2003,0,0,0,1,1,0,0,31,2003,0,0
12sep2003,0,0,0,1,1,0,0,32,2003,0,0
31dec2000,0,0,0,1,1,0,0,42,2000,0,0
11jul2006,0,0,0,1,1,0,1,45,2006,0,0
10jan2007,0,0,0,1,1,0,0,43,2007,0,0
06dec1999,0,0,0,1,0,1,0,41,1999,0,0
26oct2005,0,0,0,0,0,0,0,29,2005,0,0
06apr2001,0,0,0,1,1,0,1,50,2001,0,0
29jan2005,0,0,0,1,1,0,0,28,2005,0,0
23jun2006,0,0,0,1,1,0,0,53,2006,0,0
30sep2001,151,150,150,1,1,0,0,56,2001,.15099999,.15000001
14jul2003,0,0,0,0,1,0,0,48,2003,0,0
23sep2005,156,153,153,1,0,0,0,32,2005,.156,.153
26dec2002,0,0,0,0,1,0,1,52,2002,0,0
25apr2004,164,165,164,1,1,0,0,28,2004,.164,.16500001
08apr2004,0,0,0,1,1,0,0,45,2004,0,0
21dec2005,155,155,155,1,1,0,1,36,2005,.155,.155
19mar2002,165,163,163,1,1,0,0,52,2002,.16500001,.163
02sep2004,154,161,154,0,1,0,0,55,2004,.154,.161
21may1999,141,127,127,1,1,0,0,53,1999,.141,.127
09feb2003,122,126,122,1,1,0,0,45,2003,.122,.126
10mar2001,148,146,146,0,1,1,0,28,2001,.148,.146
30dec2004,200,213,200,1,1,0,0,27,2004,.2,.213
26feb2000,126,128,126,1,1,0,0,23,2000,.126,.12800001
16oct2005,164,157,157,1,1,0,0,21,2005,.164,.15700001
16mar2002,107,103,103,0,1,0,0,35,2002,.107,.103
20aug2000,127,123,123,1,1,0,0,53,2000,.127,.123
14apr2002,135,129,129,0,1,0,0,51,2002,.13500001,.12899999
15dec2001,168,181,168,1,1,1,1,23,2001,.168,.18099999
21aug2004,104,103,103,1,1,0,1,32,2004,.104,.103
08oct2006,143,142,142,1,1,0,0,38,2006,.14300001,.142
20dec2003,115,117,115,0,1,0,0,38,2003,.115,.117
02may2006,294,292,292,1,1,1,0,46,2006,.294,.292
16jan2001,91,92,91,1,1,0,0,27,2001,.090999998,.092
14oct2007,94,99,94,1,0,0,0,23,2007,.093999997,.098999999
09jul2005,131,130,130,0,1,0,0,38,2005,.131,.13
29oct2000,13,11,11,1,1,0,0,44,2000,.013,.011
